Kategori Utama	Sub Kategori	Jenis / Bentuk	Sub-Jenis	Jenis Transaksi	Satuan	Tarif (Rp)
Pemeriksaan	Tumbuhan dan Benih	Berupa pohon (termasuk kecambah yang bakal akar dan daunnya sudah bisa ditentukan)	Pohon (termasuk stumb)	Impor	per batang	200
Pemeriksaan	Tumbuhan dan Benih	Berupa pohon (termasuk kecambah yang bakal akar dan daunnya sudah bisa ditentukan)	Pohon (termasuk stumb)	Ekspor/antararea	per batang	100
Pemeriksaan	Tumbuhan dan Benih	Berupa pohon (termasuk kecambah yang bakal akar dan daunnya sudah bisa ditentukan)	Planlet / ex-plant	Impor	per batang	25
Pemeriksaan	Tumbuhan dan Benih	Berupa pohon (termasuk kecambah yang bakal akar dan daunnya sudah bisa ditentukan)	Planlet / ex-plant	Ekspor/antararea	per batang	10
Pemeriksaan	Tumbuhan dan Benih	Berupa stek / cutting	-	Impor	per batang	10
Pemeriksaan	Tumbuhan dan Benih	Berupa stek / cutting	-	Ekspor/antararea	per batang	5
Pemeriksaan	Tumbuhan dan Benih	Berupa umbi / akar / rimpang / daun	-	Impor	per kilogram	50
Pemeriksaan	Tumbuhan dan Benih	Berupa umbi / akar / rimpang / daun	-	Ekspor/antararea	per kilogram	25
Pemeriksaan	Tumbuhan dan Benih	Berupa biji	Padi-padian	Impor	per kilogram	225
Pemeriksaan	Tumbuhan dan Benih	Berupa biji	Padi-padian	Ekspor/antararea	per kilogram	50
Pemeriksaan	Tumbuhan dan Benih	Berupa biji	Palawija	Impor	per kilogram	180
Pemeriksaan	Tumbuhan dan Benih	Berupa biji	Palawija	Ekspor/antararea	per kilogram	40
Pemeriksaan	Tumbuhan dan Benih	Berupa biji	Sayur-sayuran	Impor	per kilogram	270
Pemeriksaan	Tumbuhan dan Benih	Berupa biji	Sayur-sayuran	Ekspor/antararea	per kilogram	60
Pemeriksaan	Tumbuhan dan Benih	Berupa biji	Tanaman hias lanskap	Impor	per kilogram	360
Pemeriksaan	Tumbuhan dan Benih	Berupa biji	Tanaman hias lanskap	Ekspor/antararea	per kilogram	80
Pemeriksaan	Tumbuhan dan Benih	Berupa biji	Rumput-rumputan (non lanskap) & penutup tanah	Impor	per kilogram	200
Pemeriksaan	Tumbuhan dan Benih	Berupa biji	Rumput-rumputan (non lanskap) & penutup tanah	Ekspor/antararea	per kilogram	50
Pemeriksaan	Tumbuhan dan Benih	Berupa biji	Buah-buahan	Impor	per kilogram	500
Pemeriksaan	Tumbuhan dan Benih	Berupa biji	Buah-buahan	Ekspor/antararea	per kilogram	100
Pemeriksaan	Tumbuhan dan Benih	Berupa biji	Tumbuhan hutan	Impor	per kilogram	450
Pemeriksaan	Tumbuhan dan Benih	Berupa biji	Tumbuhan hutan	Ekspor/antararea	per kilogram	100
Pemeriksaan	Tumbuhan dan Benih	Berupa biji	Tanaman perkebunan (kecambah belum tentu akar/daun)	Impor	per biji	25
Pemeriksaan	Tumbuhan dan Benih	Berupa biji	Tanaman perkebunan (kecambah belum tentu akar/daun)	Ekspor/antararea	per biji	10
Pemeriksaan	Tumbuhan dan Benih	Berupa biji	Tanaman perkebunan semusim	Impor	per kilogram	250
Pemeriksaan	Tumbuhan dan Benih	Berupa biji	Tanaman perkebunan semusim	Ekspor/antararea	per kilogram	100
Pemeriksaan	Tumbuhan dan Benih	Berupa serbuk sari	-	Impor	per gram	500
Pemeriksaan	Tumbuhan dan Benih	Berupa serbuk sari	-	Ekspor/antararea	per gram	150
Pemeriksaan	Tumbuhan dan Benih	Bentuk yang dikemas (botol erlemeyer, cawan petri, sejenis)	-	Impor	per kemasan	500
Pemeriksaan	Tumbuhan dan Benih	Bentuk yang dikemas (botol erlemeyer, cawan petri, sejenis)	-	Ekspor/antararea	per kemasan	250
